IDEPT,ISDEPT,ICLAS,ISCLAS,ISTORE,RANK,STORE,IMFGR,MFC,INUMBR,IDESCR,ISTYPE,iPhone,EOL,ICUCST,IBHAND,IBPOOQ,IBTOOQ,DC,AVAILABLE,Sugg,To Order,AVLST3WKSL,AVLST8WKSL,IBWKCR,IBWK01,IBWK02,IBWK03,IBWK04,IBWK05,IBWK06,IBWK07,IBWK08,IVNDP#,IRLSDT,
7,74,742,108,313,A,South Common,640,Cesium,1390196,ROGERS IPHONE CABLE,1,,,5.5,-1,0,0,6,-1,2,2,0.3,0.1,0,1,0,0,0,0,0,0,0,86714VRP,100825,
7,74,740,108,120,B,Fredericton,640,Cesium,1390194,ROGERS MICROUSB CABLE,1,,,3.75,2,0,0,7,2,1,2,0.7,0.8,2,1,1,0,1,1,1,0,1,86718VRP,100825,
7,74,740,108,311,B,Aurora,640,Cesium,1390194,ROGERS MICROUSB CABLE,1,,,3.75,5,0,0,7,5,1,2,1.7,1.6,1,1,2,2,2,2,2,1,1,86718VRP,100825,
7,74,740,103,313,A,South Common,801,Cesium,1390365,BB TORCH LEATHER HOLSTER BLACK,1,,,10.88,0,0,0,4,0,3,3,0.7,0.3,0,1,1,0,0,0,0,0,0,ACC32837301,100913,
7,74,740,103,313,A,South Common,1022,Cesium,1396576,SM GALAXY S3 ISKIN AURA PINK,1,,,18.98,0,0,0,5,0,1,2,0.3,0.1,1,0,0,1,0,0,0,0,0,ARSSG3PK2,120716,
7,74,740,103,120,B,Fredericton,400,Avoca,1396549,SM GALAXY Q AVOCA COVER PURPLE,1,,,5.12,2,0,0,9,2,1,2,1,0.8,1,0,1,2,0,1,1,1,0,ARSSG3PK2,120712,c
7,74,742,112,313,A,South Common,880,Microcel,1396762,IPHONE 4S CLARIVUE SCRN PRTCT,1,iphone 4,,6.51,0,0,0,0,0,4,4,1.7,1.1,1,5,0,0,0,4,0,0,0,CLIPHN4SSP,120808,
7,74,743,103,313,A,South Common,701,Cesium,1395804,SM GALAXY TAB 8.9 BOOK COVER,1,,,32.98,0,2,0,0,2,1,2,1,0.4,0,2,1,0,0,0,0,0,0,EFC1C9NBECCAN,120309,
7,74,740,106,311,B,Aurora,1022,Cesium,1367385,ISKIN EARTONES BLACK,1,,,19.99,1,0,0,2,1,2,2,0.7,0.3,0,2,0,0,0,0,0,0,0,ETNEBK1,110325,
7,74,742,101,311,B,Aurora,1020,Cesium,1389608,IPHONE IPAD PWRJLT 30 PIN CLA,1,,,13.74,2,0,0,20,2,1,2,1,0.8,0,1,2,0,0,0,0,1,2,GC23090,100715,
7,74,740,103,313,A,South Common,670,Cesium,1394498,SM GALAXY S II SKIN PURPLE,1,,,4.99,0,2,0,0,2,1,2,1,0.6,0,2,0,1,0,0,1,0,1,GZSAGS2LTSKIN2,111221,
7,74,740,100,313,A,South Common,700,Microcel,1347934,SM BT HM1700,1,,,21.11,0,0,0,9,0,1,2,0.3,0.1,1,0,0,1,0,0,0,0,0,HM1700,110830,
7,74,740,103,120,B,Fredericton,700,Microcel,1396461,SM GALAXY S3 FLIP COVER BLUE,1,,,17.58,0,0,0,9,0,3,3,0.7,0.4,0,2,0,0,0,0,0,1,0,LCA9300CB,120620,
7,74,740,103,125,B,Grand Falls,620,Affinity,1396110,NK LUMIA 900 OTTERBOX COMMUTER,1,,,21.73,-2,0,0,3,-2,2,2,0,0,0,0,0,0,0,0,0,0,0,OBCM2900BK,120504,
7,74,740,103,120,B,Fredericton,620,Affinity,1396504,SM GALAXY S3 OTTER COM BLACK,1,,,21.73,2,0,0,0,2,1,2,0.7,0.5,1,0,1,1,0,0,1,1,0,OBCM5930BK,120703,
7,74,740,103,124,B,Mountain,620,Affinity,1396505,SM GALAXY S3 OTTER COM WHITE,1,,,21.73,0,0,0,0,0,1,2,0.3,0.1,0,1,0,0,0,0,0,0,0,OBCM5930GLAC,120703,
7,74,740,103,313,A,South Common,620,Affinity,1396505,SM GALAXY S3 OTTER COM WHITE,1,,,21.73,3,0,0,0,3,1,2,1.3,1,0,2,2,0,1,2,1,0,0,OBCM5930GLAC,120703,
7,74,742,103,311,B,Aurora,620,Affinity,1394324,IPHONE 4S OTTERBOX COM BLACK,1,iphone 4,,21.73,2,3,0,0,5,1,2,2.7,1.6,0,3,3,2,2,1,2,0,0,OBCMIP4SBK,111104,
7,74,740,103,120,B,Fredericton,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,2,0,0,0,2,1,2,0.7,0.4,0,1,1,0,0,0,0,0,1,ORC5930BK,120703,
7,74,740,103,124,B,Mountain,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,1,2,0.3,0.3,1,0,0,1,0,0,1,0,0,ORC5930BK,120703,
7,74,740,103,311,B,Aurora,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,1,0,0,1,2,2,0.7,0.4,0,1,1,0,0,1,0,0,0,ORC5930BK,120703,
7,74,740,103,313,A,South Common,620,Affinity,1396502,SM GALAXY S3 OTTER DEF PURPLE,1,,,30.2,1,0,0,0,1,2,2,0.7,0.3,-1,1,0,1,0,0,0,0,0,ORC5930BOOM,120703,
7,74,740,103,313,A,South Common,700,Microcel,1396464,SM GALAXY S3 SKIN BLUE,1,,,8.61,0,0,0,6,0,1,2,0.3,0.3,1,1,0,0,0,0,0,1,0,PC9300B,120620,
7,74,740,103,311,B,Aurora,740,Cesium,1396441,SM GALAXY S3 INCP FTHR BLACK,1,,,8.97,2,0,0,0,2,1,2,0.7,0.3,0,2,0,0,0,0,0,0,0,SA296,120613,
7,74,740,103,313,A,South Common,740,Cesium,1396441,SM GALAXY S3 INCP FTHR BLACK,1,,,8.97,1,0,0,0,1,2,2,0.7,0.3,0,1,1,0,0,0,0,0,0,SA296,120613,
7,74,740,103,311,B,Aurora,740,Cesium,1396442,SM GALAXY S3 INCP FTHR BLUE,1,,,8.97,0,0,0,1,0,1,2,0.3,0.1,0,1,0,0,0,0,0,0,0,SA298,120613,
7,74,740,103,311,B,Aurora,740,Cesium,1396440,SM GALAXY S3 INCP FTHR PURPLE,1,,,8.97,0,0,0,1,0,1,2,0.3,0.1,0,1,0,0,0,0,0,0,0,SA301,120613,
