IDEPT,ISDEPT,ICLAS,ISCLAS,ISTORE,RANK,STORE,IMFGR,MFC,INUMBR,IDESCR,ISTYPE,iPhone,EOL,ICUCST,IBHAND,IBPOOQ,IBTOOQ,DC,AVAILABLE,Sugg,To Order,AVLST3WKSL,AVLST8WKSL,IBWKCR,IBWK01,IBWK02,IBWK03,IBWK04,IBWK05,IBWK06,IBWK07,IBWK08,IVNDP#,IRLSDT
7,74,742,112,120,B,Fredericton,610,Cesium,1389860,IPHONE 4S ANTI-GLARE FILM SET,1,iphone 4,,9.99,1,2,0,44,3,1,2,2,1.5,0,3,2,1,1,1,0,2,2,TRU144,100726
7,74,740,108,120,B,Fredericton,640,Cesium,1390194,ROGERS MICROUSB CABLE,1,,,3.75,2,0,0,7,2,1,2,0.7,0.8,2,1,1,0,1,1,1,0,1,86718VRP,100825
7,74,740,103,120,B,Fredericton,700,Microcel,1396461,SM GALAXY S3 FLIP COVER BLUE,1,,,17.58,0,0,0,9,0,3,3,0.7,0.4,0,2,0,0,0,0,0,1,0,LCA9300CB,120620
7,74,740,103,120,B,Fredericton,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,2,0,0,0,2,1,2,0.7,0.4,0,1,1,0,0,0,0,0,1,ORC5930BK,120703
7,74,740,103,120,B,Fredericton,620,Affinity,1396504,SM GALAXY S3 OTTER COM BLACK,1,,,21.73,2,0,0,0,2,1,2,0.7,0.5,1,0,1,1,0,0,1,1,0,OBCM5930BK,120703
7,74,740,103,120,B,Fredericton,400,Avoca,1396549,SM GALAXY Q AVOCA COVER PURPLE,1,,,5.12,2,0,0,9,2,1,2,1,0.8,1,0,1,2,0,1,1,1,0,CCSS02PE,120712
7,74,740,103,120,B,Fredericton,400,Avoca,1396554,HTC DESIRE C SKIN WHITE,1,,,5.12,0,0,0,0,0,3,3,0.7,0.3,0,1,0,1,0,0,0,0,0,TPHT01WH,120716
7,74,740,103,120,B,Fredericton,400,Avoca,1396867,LG OPTIMUS L3 AVOCA SKIN PURPL,1,,,5.12,0,0,0,9,0,3,3,0.7,0.3,0,1,0,1,0,0,0,0,0,TPLG06PES,120905
